Description,Measure,Energy
Babyfood; fruit; apricot with tapioca; strained,1.0 tbsp,9
Babyfood; fruit; banana and strawberry; junior,1.0 bottle,153
Babyfood; fruit; bananas and pineapple with tapioca; junior,1.0 tbsp,10
Babyfood; fruit; bananas and pineapple with tapioca; strained,1.0 tbsp,10
Babyfood; fruit; bananas with apples and pears; strained,1.0 tbsp,12
Babyfood; fruit; bananas with tapioca; junior,1.0 tbsp,10
Babyfood; fruit; bananas with tapioca; strained,1.0 tbsp,8
Babyfood; fruit; guava and papaya with tapioca; strained,1.0 oz,18
Babyfood; fruit; papaya and applesauce with tapioca; strained,1.0 oz,20
Babyfood; fruit; peaches; junior,1.0 tbsp,11
Babyfood; fruit; peaches; strained,1.0 tbsp,11
Babyfood; fruit; pears and pineapple; junior,1.0 tbsp,7
Babyfood; fruit; pears and pineapple; strained,1.0 tbsp,7
Babyfood; fruit; pears; junior,1.0 tbsp,7
Babyfood; fruit; pears; strained,1.0 tbsp,7
Babyfood; fruit; plums with tapioca; without ascorbic acid; junior,1.0 tbsp,11
Babyfood; fruit; plums with tapioca; without ascorbic acid; strained,1.0 tbsp,11
Babyfood; fruit; prunes with tapioca; without ascorbic acid; junior,1.0 oz,20
Babyfood; fruit; prunes with tapioca; without ascorbic acid; strained,1.0 tbsp,10
Babyfood; fruit; tutti frutti; junior,1.0 tbsp,10
Babyfood; fruit; tutti frutti; strained,1.0 tbsp,10
Babyfood; grape juice; no sugar; canned,1.0 fl oz,19
Babyfood; green beans and turkey; strained,1.0 tbsp,7
Babyfood; green beans; dices; toddler,1.0 oz,8
Babyfood; juice treats; fruit medley; toddler,1.0 packet,97
Babyfood; juice; apple,1.0 fl oz,15
Babyfood; juice; apple - cherry,1.0 fl oz,15
Babyfood; juice; apple and cherry,1.0 fl oz,13
Babyfood; juice; apple and grape,1.0 fl oz,14
Babyfood; juice; apple and peach,1.0 fl oz,13
Babyfood; juice; apple and plum,1.0 fl oz,15
Babyfood; juice; apple and prune,1.0 fl oz,22
Babyfood; juice; apple-sweet potato,1.0 fl oz,15
Babyfood; juice; apple; with calcium,1.0 serving,87
Babyfood; juice; fruit punch; with calcium,1.0 fl oz,16
Babyfood; juice; mixed fruit,1.0 fl oz,15
Babyfood; juice; orange,1.0 fl oz,14
Babyfood; juice; orange and apple,1.0 fl oz,13
Babyfood; juice; orange and apple and banana,1.0 fl oz,15
Babyfood; juice; orange and apricot,1.0 fl oz,14
Babyfood; juice; orange and banana,1.0 fl oz,16
Babyfood; juice; orange and pineapple,1.0 fl oz,15
Babyfood; juice; orange-carrot,1.0 fl oz,13
Babyfood; juice; pear,1.0 fl oz,15
Babyfood; juice; prune and orange,1.0 fl oz,22
Babyfood; macaroni and cheese; toddler,1.0 container,93
Babyfood; mashed cheddar potatoes and broccoli; toddlers,1.0 container,82
Babyfood; meat; beef with vegetables; toddler,1.0 jar NFS,122
Babyfood; meat; beef; junior,1.0 oz,23
Babyfood; meat; beef; strained,1.0 tbsp,12
Babyfood; meat; chicken sticks; junior,1.0 stick,19
Babyfood; meat; chicken; junior,1.0 tbsp,22
Babyfood; meat; chicken; strained,1.0 tbsp,20
Babyfood; meat; ham; junior,1.0 oz,27
Babyfood; meat; ham; strained,1.0 tbsp,15
Babyfood; meat; lamb; junior,1.0 oz,32
Babyfood; meat; lamb; strained,1.0 tbsp,19
Babyfood; meat; meat sticks; junior,1.0 stick,18
Babyfood; meat; pork; strained,1.0 oz,35
Babyfood; meat; turkey sticks; junior,1.0 stick,19
Babyfood; meat; turkey; junior,1.0 tbsp,21
Babyfood; meat; turkey; strained,1.0 tbsp,17
Babyfood; meat; veal; strained,1.0 tbsp,13
Babyfood; mixed fruit juice with low fat yogurt,1.0 fl oz,24
Babyfood; mixed fruit yogurt; strained,1.0 tbsp,11
Babyfood; Multigrain whole grain cereal; dry,3.0 tbsp,65
Babyfood; oatmeal cereal with fruit; dry; instant; toddler,1.0 tbsp,21
Babyfood; peaches; dices; toddler,1.0 oz,14
Babyfood; pears; dices; toddler,1.0 oz,16
Babyfood; peas and brown rice,1.0 cup,147
Babyfood; peas; dices; toddler,1.0 oz,18
Babyfood; plums; bananas and rice; strained,1.0 oz,16
Babyfood; potatoes; toddler,1.0 cup,85
Babyfood; pretzels,1.0 oz,113
Babyfood; prunes; without vitamin c; strained,1.0 tbsp,15
Babyfood; ravioli; cheese filled; with tomato sauce,1.0 tbsp,16
Babyfood; rice and apples; dry,1.0 tbsp,10
Babyfood; snack; GERBER GRADUATE FRUIT  STRIPS; Real Fruit Bars,1.0 bar,33
Babyfood; snack; GERBER GRADUATE YOGURT MELTS,1.0 serving,30
Babyfood; Snack; GERBER; GRADUATES; LIL CRUNCHIES; baked whole grain corn snack,18.0 piece,35
Babyfood; teething biscuits,1.0 oz,111
Babyfood; vegetable and brown rice; strained,1.0 cup,159
Babyfood; vegetable; butternut squash and corn,1.0 jar; Gerber (4 oz),56
Babyfood; vegetable; green beans and potatoes,1.0 jar; Gerber (4 oz),70
Babyfood; vegetables; beets; strained,1.0 cup,76
Babyfood; vegetables; carrots; junior,1.0 cup,72
Babyfood; vegetables; carrots; strained,1.0 cup,58
Babyfood; vegetables; corn; creamed; junior,1.0 cup,156
Babyfood; vegetables; corn; creamed; strained,1.0 jar,64
Babyfood; vegetables; garden vegetable; strained,1.0 oz,9
Babyfood; vegetables; green beans; junior,1.0 cup,58
Babyfood; vegetables; green beans; strained,1.0 cup,65
Babyfood; vegetables; mix vegetables junior,1.0 serving 3.5 oz serving,36
Babyfood; vegetables; mix vegetables strained,1.0 oz,10
Babyfood; vegetables; peas; strained,1.0 tbsp,8
Babyfood; vegetables; spinach; creamed; strained,1.0 cup,89
Babyfood; vegetables; squash; junior,1.0 tbsp,4
Babyfood; vegetables; squash; strained,1.0 tbsp,4
Babyfood; vegetables; sweet potatoes strained,1.0 cup,128
